White	WhiteWin	Draw	BlackWin	Black
Q-S1-S2-S1	0.0	100.0	0.0	Q-A1-A1-A2
Q-S1-S2-B1	0.0	100.0	0.0	B1-Q-Q-B1
Q-S1-S1-B1	0.0	100.0	0.0	Q-S1-S1-M1
Q-S1-S1-A1	0.0	0.0	100.0	S1-Q-Q-A1
Q-S1-A1-S1	0.0	100.0	0.0	Q-B1-B1-B1
Q-S1-A1-S1	0.0	0.0	100.0	G1-S1-Q-A1
Q-S1-A1-S1	0.0	100.0	0.0	G1-Q-S1-A1
Q-S1-A1-S1	0.0	0.0	100.0	B1-Q-Q-Q
Q-B1-B1-Q	100.0	0.0	0.0	Q-A1-A1-B1
Q-A1-S1-M1	100.0	0.0	0.0	B1-Q-B2-B2
Q-A1-A2-M1	0.0	0.0	100.0	G1-S1-B1-Q
Q-A1-A2-A3	0.0	0.0	100.0	B1-G1-G2-Q
Q-A1-A2-A2	100.0	0.0	0.0	G1-Q-A1-G2
Q-A1-A2-A1	0.0	0.0	100.0	S1-Q-B1-G1
Q-A1-A1-S1	100.0	0.0	0.0	B1-G1-Q-Q
Q-A1-A1-B1	0.0	100.0	0.0	Q-S1-S1-B1
Q-A1-A1-A1	0.0	0.0	100.0	G1-S1-S2-Q
P-S1-S2-Q	0.0	0.0	100.0	B1-Q-Q-B1
P-Q-S1-S1	0.0	0.0	100.0	L1-Q-B1-B1
P-Q-S1-A1	100.0	0.0	0.0	G1-Q-B1-B1
P-Q-B1-B1	0.0	100.0	0.0	P-Q-B1-A1
P-Q-A1-A1	100.0	0.0	0.0	M1-Q-B1-B2
P-Q-A1-A1	100.0	0.0	0.0	G1-Q-A1-A2
P-Q-A1-A1	100.0	0.0	0.0	B1-Q-M1-A1
P-A1-Q-A2	100.0	0.0	0.0	G1-P-Q-B1
P-A1-Q-A1	100.0	0.0	0.0	P-B1-Q-B1
P-A1-Q-A1	0.0	0.0	100.0	M1-B1-Q-B2
P-A1-Q-A1	100.0	0.0	0.0	L1-Q-A1-A2
P-A1-Q-A1	100.0	0.0	0.0	L1-A1-Q-M1
P-A1-Q-A1	100.0	0.0	0.0	B1-Q-Q-B1
P-A1-Q-A1	100.0	0.0	0.0	B1-A1-Q-P
M1-Q-S1-S1	100.0	0.0	0.0	G1-Q-A1-A2
M1-Q-A1-A1	100.0	0.0	0.0	G1-Q-A1-A2
M1-A1-Q-A1	0.0	0.0	100.0	G1-S1-Q-A1
L1-Q-S1-S1	100.0	0.0	0.0	S1-G1-Q-B1
L1-Q-S1-S1	100.0	0.0	0.0	L1-Q-S1-A1
L1-Q-S1-S1	100.0	0.0	0.0	L1-Q-A1-A1
L1-Q-S1-S1	0.0	100.0	0.0	L1-M1-Q-A1
L1-Q-S1-S1	100.0	0.0	0.0	G1-Q-A1-A1
L1-Q-S1-A1	100.0	0.0	0.0	S1-G1-M1-Q
L1-Q-S1-A1	100.0	0.0	0.0	M1-Q-L1-A1
L1-Q-S1-A1	100.0	0.0	0.0	G1-L1-S1-Q
L1-Q-M1-A1	100.0	0.0	0.0	M1-Q-P-A1
L1-Q-M1-A1	0.0	0.0	100.0	L1-M1-Q-A1
L1-Q-G1-G1	0.0	0.0	100.0	S1-G1-M1-Q
L1-Q-G1-G1	100.0	0.0	0.0	L1-M1-Q-A1
L1-Q-B1-B1	100.0	0.0	0.0	P-A1-M1-Q
L1-Q-A1-S1	100.0	0.0	0.0	L1-G1-Q-G1
L1-Q-A1-P	100.0	0.0	0.0	L1-Q-S1-S1
L1-Q-A1-M1	100.0	0.0	0.0	L1-Q-A1-A1
L1-Q-A1-M1	100.0	0.0	0.0	G1-Q-S1-P
L1-Q-A1-M1	0.0	0.0	100.0	G1-Q-B1-B1
L1-Q-A1-G1	0.0	0.0	100.0	S1-G1-G2-Q
L1-Q-A1-B1	100.0	0.0	0.0	G1-Q-P-S1
L1-Q-A1-A2	0.0	0.0	100.0	S1-G1-M1-Q
L1-Q-A1-A2	0.0	0.0	100.0	L1-G1-Q-S1
L1-Q-A1-A1	0.0	100.0	0.0	L1-Q-M1-M1
L1-Q-A1-A1	100.0	0.0	0.0	L1-Q-A1-M1
L1-Q-A1-A1	100.0	0.0	0.0	L1-Q-A1-A2
L1-Q-A1-A1	100.0	0.0	0.0	L1-Q-A1-A1
L1-Q-A1-A1	100.0	0.0	0.0	L1-G1-Q-A1
L1-Q-A1-A1	100.0	0.0	0.0	G1-Q-S1-M1
L1-Q-A1-A1	0.0	0.0	100.0	G1-Q-A1-S1
L1-Q-A1-A1	100.0	0.0	0.0	G1-Q-A1-A2
L1-Q-A1-A1	100.0	0.0	0.0	G1-A1-Q-A2
L1-Q-A1-A1	0.0	0.0	100.0	B1-Q-M1-G1
L1-Q-A1-A1	100.0	0.0	0.0	B1-Q-M1-A1
L1-Q-A1-A1	0.0	0.0	100.0	B1-Q-A1-A2
L1-M1-Q-S1	0.0	0.0	100.0	L1-M1-Q-A1
L1-M1-Q-S1	0.0	0.0	100.0	G1-A1-Q-A2
L1-M1-Q-Q	100.0	0.0	0.0	L1-Q-G1-A1
L1-M1-Q-A1	100.0	0.0	0.0	L1-Q-M1-A1
L1-M1-Q-A1	100.0	0.0	0.0	L1-M1-Q-S1
L1-M1-Q-A1	0.0	100.0	0.0	L1-G1-Q-S1
L1-M1-Q-A1	100.0	0.0	0.0	G1-L1-Q-G2
L1-M1-Q-A1	100.0	0.0	0.0	G1-A1-Q-A1
L1-M1-Q-A1	0.0	0.0	100.0	B1-M1-Q-A1
L1-G1-Q-A1	0.0	0.0	100.0	L1-G1-Q-A1
L1-A1-Q-S1	0.0	0.0	100.0	S1-M1-Q-A1
L1-A1-Q-S1	100.0	0.0	0.0	S1-G1-G2-Q
L1-A1-Q-S1	0.0	100.0	0.0	B1-M1-Q-A1
L1-A1-Q-M1	0.0	0.0	100.0	P-Q-M1-L1
L1-A1-Q-M1	100.0	0.0	0.0	P-M1-A1-Q
L1-A1-Q-M1	100.0	0.0	0.0	L1-Q-S1-S1
L1-A1-Q-M1	0.0	100.0	0.0	B1-M1-Q-A1
L1-A1-Q-G1	0.0	0.0	100.0	S1-L1-M1-Q
L1-A1-Q-A2	100.0	0.0	0.0	B1-Q-L1-S1
L1-A1-Q-A1	100.0	0.0	0.0	P-G1-Q-B1
L1-A1-Q-A1	100.0	0.0	0.0	P-A1-Q-M1
L1-A1-Q-A1	100.0	0.0	0.0	M1-Q-P-A1
L1-A1-Q-A1	100.0	0.0	0.0	L1-Q-S1-S1
L1-A1-Q-A1	100.0	0.0	0.0	L1-Q-P-A1
L1-A1-Q-A1	0.0	0.0	100.0	L1-Q-A1-A2
L1-A1-Q-A1	100.0	0.0	0.0	L1-M1-Q-M1
L1-A1-Q-A1	100.0	0.0	0.0	L1-M1-Q-G1
L1-A1-Q-A1	100.0	0.0	0.0	L1-A1-M1-Q
L1-A1-Q-A1	100.0	0.0	0.0	G1-Q-A1-A2
L1-A1-Q-A1	100.0	0.0	0.0	G1-Q-A1-A1
L1-A1-Q-A1	0.0	0.0	100.0	G1-G2-Q-S1
