White	WhiteWin	Draw	BlackWin	Black
S1-A1-Q-G1	0	0	1	S1-A1-Q-Q
S1-A1-Q-G1	0	0	1	G1-Q-A1-A1
S1-A1-Q-A2	1	0	0	S1-S2-Q-A1
S1-A1-Q-A2	1	0	0	S1-B1-A1-Q
S1-A1-Q-A2	0	0	1	Q-A1-G1-G1
S1-A1-Q-A2	0	0	1	Q-A1-A1-S1
S1-A1-Q-A2	0	0	1	G1-Q-S1-A1
S1-A1-Q-A2	1	0	0	G1-Q-P-S1
S1-A1-Q-A2	0	0	1	G1-Q-A1-A1
S1-A1-Q-A2	0	0	1	G1-A1-A2-Q
S1-A1-Q-A1	1	0	0	S1-Q-S2-S2
S1-A1-Q-A1	1	0	0	S1-Q-Q-A1
S1-A1-Q-A1	0	0	1	S1-Q-A1-S2
S1-A1-Q-A1	1	0	0	S1-Q-A1-Q
S1-A1-Q-A1	0	0	1	S1-Q-A1-M1
S1-A1-Q-A1	0	0	1	S1-A1-Q-B1
S1-A1-Q-A1	0	1	0	S1-A1-Q-A2
S1-A1-Q-A1	0	0	1	G1-Q-P-A1
S1-A1-Q-A1	1	0	0	G1-Q-A1-S1
S1-A1-Q-A1	1	0	0	G1-Q-A1-B1
S1-A1-Q-A1	0	0	1	B1-S1-Q-S1
S1-A1-Q-A1	0	1	0	B1-S1-A1-Q
S1-A1-Q-A1	1	0	0	B1-Q-S1-G1
S1-A1-Q-A1	1	0	0	B1-Q-A1-A2
S1-A1-Q-A1	1	0	0	B1-G1-Q-A1
S1-A1-Q-A1	1	0	0	B1-A1-Q-A2
S1-A1-Q-A1	1	0	0	B1-A1-Q-A1
S1-A1-P-Q	0	0	1	G1-Q-A1-A1
S1-A1-G1-Q	0	0	1	S1-Q-A1-A1
S1-A1-G1-Q	0	0	1	G1-Q-S1-S1
S1-A1-A2-Q	1	0	0	S1-G1-A1-Q
S1-A1-A2-Q	1	0	0	S1-A1-A2-Q
S1-A1-A2-Q	0	0	1	G1-G2-A1-Q
Q-S1-S2-S1	0	1	0	Q-A1-A1-M1
Q-S1-S2-G1	0	0	1	S1-Q-A1-A1
Q-S1-S1-S2	0	1	0	Q-B1-B1-B1
Q-S1-S1-B1	0	0	1	Q-S1-S2-B1
Q-S1-S1-B1	0	1	0	Q-A1-A1-B1
Q-S1-S1-B1	0	1	0	Q-A1-A1-A1
Q-S1-S1-A1	0	1	0	Q-A1-A1-S1
Q-S1-Q-B1	0	1	0	Q-Q-A1-A1
Q-S1-A1-S1	1	0	0	S1-Q-A1-Q
Q-S1-A1-A1	0	0	1	G1-Q-G2-A1
Q-S1-A1-A1	1	0	0	B1-S1-Q-A1
Q-S1-A1-A1	0	1	0	B1-Q-S1-A1
Q-G1-G1-B1	0	1	0	Q-A1-A2-A3
Q-G1-G1-A1	0	1	0	Q-A1-A1-B1
Q-G1-A1-G1	0	1	0	S1-Q-Q-S2
Q-G1-A1-A1	1	0	0	S1-G1-Q-G1
Q-G1-A1-A1	1	0	0	B1-Q-M1-S1
Q-B1-S1-S1	0	1	0	Q-B1-S1-S1
Q-B1-S1-S1	0	1	0	Q-A1-A1-M1
Q-B1-G1-G1	0	1	0	Q-A1-A1-M1
Q-B1-B1-A1	0	1	0	Q-A1-B1-A1
Q-B1-A1-B1	1	0	0	Q-A1-A1-B1
Q-B1-A1-A1	0	1	0	Q-B1-S1-S2
Q-B1-A1-A1	0	1	0	Q-B1-S1-S1
Q-B1-A1-A1	0	1	0	Q-B1-S1-B1
Q-B1-A1-A1	0	1	0	Q-B1-S1-A1
Q-A1-M1-M1	0	1	0	Q-S1-A1-S1
Q-A1-A2-A2	1	0	0	B1-A1-Q-S1
Q-A1-A2-A1	1	0	0	S1-G1-Q-G1
Q-A1-A1-S1	0	0	1	Q-B1-B2-B2
Q-A1-A1-M1	0	1	0	Q-S1-S1-A1
Q-A1-A1-M1	0	1	0	Q-A1-S1-S1
Q-A1-A1-M1	0	1	0	Q-A1-A2-A2
Q-A1-A1-G1	0	1	0	Q-S1-S1-A1
Q-A1-A1-G1	1	0	0	Q-S1-A1-A1
Q-A1-A1-B1	1	0	0	Q-S1-S1-S2
Q-A1-A1-B1	0	1	0	Q-S1-S1-B1
Q-A1-A1-B1	0	1	0	Q-S1-S1-A1
Q-A1-A1-A2	0	1	0	Q-S1-S1-B1
Q-A1-A1-A2	0	1	0	Q-S1-S1-A1
Q-A1-A1-A2	0	1	0	Q-S1-B1-B1
Q-A1-A1-A2	0	1	0	B1-B2-M1-Q
P-S1-S2-Q	0	0	1	M1-Q-A1-A1
P-Q-S1-S1	1	0	0	S1-G1-Q-P
P-Q-S1-S1	1	0	0	G1-Q-S1-S1
P-Q-S1-S1	1	0	0	B1-Q-P-A1
P-Q-S1-A1	0	0	1	G1-Q-A1-A1
P-Q-B1-B1	1	0	0	M1-Q-A1-B1
P-Q-B1-B1	1	0	0	G1-Q-G2-G2
P-Q-A1-A2	1	0	0	S1-Q-P-S2
P-Q-A1-A2	1	0	0	S1-Q-L1-L1
P-Q-A1-A2	1	0	0	G1-P-B1-Q
P-Q-A1-A2	0	0	1	G1-G2-Q-S1
P-Q-A1-A2	0	0	1	G1-B1-P-Q
P-Q-A1-A2	1	0	0	G1-A1-S1-Q
P-Q-A1-A1	0	0	1	S1-Q-G1-A1
P-Q-A1-A1	1	0	0	S1-Q-B1-B1
P-Q-A1-A1	0	0	1	P-S1-Q-A1
P-Q-A1-A1	0	0	1	P-Q-A1-A2
P-Q-A1-A1	1	0	0	M1-Q-B1-B2
P-Q-A1-A1	1	0	0	G1-Q-S1-S2
P-Q-A1-A1	1	0	0	G1-Q-A1-S1
P-Q-A1-A1	1	0	0	G1-P-Q-A1
P-Q-A1-A1	0	0	1	G1-M1-Q-A1
P-Q-A1-A1	1	0	0	G1-G2-Q-A1
P-Q-A1-A1	1	0	0	B1-Q-S1-A1
P-Q-A1-A1	0	0	1	B1-Q-Q-B1
P-Q-A1-A1	1	0	0	B1-Q-G1-A1
P-Q-A1-A1	1	0	0	B1-B2-Q-A1
