White	WhiteWin	Draw	BlackWin	Black
S1-B1-A1-Q	1	0	6	S1-Q-A1-A1
S1-A1-S2-Q	1	0	6	G1-Q-A1-A1
S1-A1-Q-B1	1	1	5	G1-Q-S1-S1
S1-A1-Q-A1	5	1	1	S1-A1-A2-Q
S1-A1-Q-A1	0	1	6	L1-Q-M1-A1
S1-A1-Q-A1	4	0	3	G1-Q-B1-B1
S1-A1-Q-A1	7	0	0	B1-G1-Q-A1
S1-A1-Q-A1	5	0	2	B1-A1-Q-A1
S1-A1-G1-Q	3	0	4	S1-Q-A1-A1
S1-A1-A2-Q	7	0	0	S1-S2-Q-A1
L1-A1-Q-A1	6	1	0	L1-G1-Q-A1
G1-S1-Q-S1	3	1	3	G1-Q-G2-A1
G1-S1-B1-Q	2	0	5	G1-Q-A1-A1
G1-S1-A1-Q	2	0	5	S1-Q-A1-A1
G1-S1-A1-Q	1	0	6	S1-A1-Q-A1
G1-Q-S1-S1	6	0	1	S1-Q-G1-G1
G1-Q-S1-S1	1	0	6	L1-Q-A1-M1
G1-Q-S1-S1	2	0	5	G1-Q-A1-M1
G1-Q-S1-S1	1	0	6	B1-Q-A1-G1
G1-Q-A1-S1	2	2	3	G1-G2-Q-A1
G1-Q-A1-G2	4	0	3	G1-Q-S1-S1
G1-Q-A1-B1	2	0	5	G1-Q-S1-S1
G1-Q-A1-A2	3	1	3	S1-Q-G1-G1
G1-Q-A1-A1	4	0	3	S1-G1-Q-A1
G1-Q-A1-A1	0	2	5	L1-Q-S1-A1
G1-Q-A1-A1	5	0	2	G1-Q-A1-Q
G1-G2-Q-A1	1	0	6	G1-Q-S1-S1
G1-B1-A1-Q	0	0	7	G1-Q-S1-S1
G1-A1-S1-Q	1	1	5	G1-Q-S1-S1
G1-A1-Q-A2	6	0	1	G1-Q-S1-A1
G1-A1-Q-A2	4	0	3	B1-Q-S1-S1
G1-A1-Q-A1	5	0	2	S1-S2-Q-A1
G1-A1-Q-A1	6	1	0	S1-Q-G1-A1
G1-A1-Q-A1	5	0	2	B1-Q-A1-S1
B1-S1-S2-Q	1	0	6	G1-Q-A1-A1
B1-S1-Q-S1	5	0	2	S1-Q-A1-A1
B1-S1-Q-S1	1	0	6	G1-Q-A1-A1
B1-S1-Q-A1	1	0	6	G1-Q-S1-S1
B1-S1-A1-Q	1	0	6	S1-A1-Q-A1
B1-Q-S1-S1	4	1	2	G1-Q-S1-S1
B1-Q-S1-S1	1	0	6	G1-Q-S1-A1
B1-Q-A1-A1	3	0	4	S1-Q-S2-S2
B1-Q-A1-A1	5	0	2	S1-Q-A1-A2
B1-Q-A1-A1	1	0	6	G1-Q-A1-A1
B1-Q-A1-A1	1	0	6	B1-Q-S1-A1
B1-G1-Q-A1	2	0	5	S1-Q-A1-A1
B1-A1-Q-A1	6	0	1	S1-Q-A1-A2
B1-A1-Q-A1	6	0	1	G1-Q-A1-S1
S1-S2-Q-S2	1	1	4	B1-Q-A1-A1
S1-S2-Q-B1	0	0	6	S1-Q-A1-A1
S1-S2-Q-A1	2	0	4	S1-S2-Q-A1
S1-S2-G1-Q	1	0	5	G1-Q-S1-S1
S1-S2-B1-Q	4	0	2	S1-S2-B1-Q
S1-Q-S2-S2	2	0	4	Q-A1-A1-B1
